#YY  MM DD hh mm ss T   HEIGHT
#yr  mo dy hr mn  s -        m
2011 03 14 18 00 00 1 5292.587
2011 03 14 17 45 00 1 5292.579
2011 03 14 17 30 00 1 5292.563
2011 03 14 17 15 00 1 5292.561
2011 03 14 17 00 00 1 5292.550
2011 03 14 16 45 00 1 5292.535
2011 03 14 16 30 00 1 5292.528
2011 03 14 16 15 00 1 5292.533
2011 03 14 16 00 00 1 5292.515
2011 03 14 15 45 00 1 5292.516
2011 03 14 15 30 00 1 5292.513
2011 03 14 15 15 00 1 5292.492
2011 03 14 15 00 00 1 5292.486
2011 03 14 14 45 00 1 5292.473
2011 03 14 14 30 00 1 5292.456
2011 03 14 14 15 00 1 5292.439
2011 03 14 14 00 00 1 5292.424
2011 03 14 13 45 00 1 5292.405
2011 03 14 13 30 00 1 5292.403
2011 03 14 13 15 00 1 5292.391
2011 03 14 13 00 00 1 5292.369
2011 03 14 12 45 00 1 5292.351
2011 03 14 12 30 00 1 5292.339
2011 03 14 12 15 00 1 5292.305
2011 03 14 12 00 00 1 5292.292
2011 03 14 11 45 00 1 5292.269
2011 03 14 11 30 00 1 5292.244
2011 03 14 11 15 00 1 5292.231
2011 03 14 11 00 00 1 5292.206
2011 03 14 10 45 00 1 5292.175
2011 03 14 10 30 00 1 5292.146
2011 03 14 10 15 00 1 5292.129
2011 03 14 10 00 00 1 5292.095
2011 03 14 09 45 00 1 5292.077
2011 03 14 09 30 00 1 5292.045
2011 03 14 09 15 00 1 5292.026
2011 03 14 09 00 00 1 5291.996
2011 03 14 08 45 00 1 5291.970
2011 03 14 08 30 00 1 5291.948
2011 03 14 08 15 00 1 5291.930
2011 03 14 08 00 00 1 5291.916
2011 03 14 07 45 00 1 5291.889
2011 03 14 07 30 00 1 5291.887
2011 03 14 07 15 00 1 5291.869
2011 03 14 07 00 00 1 5291.868
2011 03 14 06 45 00 1 5291.849
2011 03 14 06 30 00 1 5291.840
2011 03 14 06 15 00 1 5291.847
2011 03 14 06 00 00 1 5291.846
2011 03 14 05 45 00 1 5291.856
2011 03 14 05 30 00 1 5291.856
2011 03 14 05 15 00 1 5291.869
2011 03 14 05 00 00 1 5291.889
2011 03 14 04 45 00 1 5291.896
2011 03 14 04 30 00 1 5291.916
2011 03 14 04 15 00 1 5291.937
2011 03 14 04 00 00 1 5291.965
2011 03 14 03 45 00 1 5291.990
2011 03 14 03 30 00 1 5292.007
2011 03 14 03 15 00 1 5292.042
2011 03 14 03 00 00 1 5292.090
2011 03 14 02 45 00 1 5292.129
2011 03 14 02 30 00 1 5292.155
2011 03 14 02 15 00 1 5292.187
2011 03 14 02 00 00 1 5292.231
2011 03 14 01 45 00 1 5292.272
2011 03 14 01 30 00 1 5292.315
2011 03 14 01 15 00 1 5292.356
2011 03 14 01 00 00 1 5292.377
2011 03 14 00 45 00 1 5292.430
2011 03 14 00 30 00 1 5292.458
2011 03 14 00 15 00 1 5292.493
2011 03 14 00 00 00 1 5292.526
2011 03 13 23 45 00 1 5292.555
2011 03 13 23 30 00 1 5292.590
2011 03 13 23 15 00 1 5292.607
2011 03 13 23 00 00 1 5292.640
2011 03 13 22 45 00 1 5292.659
2011 03 13 22 30 00 1 5292.685
2011 03 13 22 15 00 1 5292.700
2011 03 13 22 00 00 1 5292.713
2011 03 13 21 45 00 1 5292.719
2011 03 13 21 30 00 1 5292.740
2011 03 13 21 15 00 1 5292.731
2011 03 13 21 00 00 1 5292.730
2011 03 13 20 45 00 1 5292.747
2011 03 13 20 30 00 1 5292.725
2011 03 13 20 15 00 1 5292.722
2011 03 13 20 00 00 1 5292.713
2011 03 13 19 45 00 1 5292.706
2011 03 13 19 30 00 1 5292.697
2011 03 13 19 15 00 1 5292.697
2011 03 13 19 00 00 1 5292.680
2011 03 13 18 45 00 1 5292.656
2011 03 13 18 30 00 1 5292.648
2011 03 13 18 15 00 1 5292.644
2011 03 13 18 00 00 1 5292.622
2011 03 13 17 45 00 1 5292.603
2011 03 13 17 30 00 1 5292.595
2011 03 13 17 15 00 1 5292.573
2011 03 13 17 00 00 1 5292.577
2011 03 13 16 45 00 1 5292.551
2011 03 13 16 30 00 1 5292.541
2011 03 13 16 15 00 1 5292.541
2011 03 13 16 00 00 1 5292.516
2011 03 13 15 45 00 1 5292.505
2011 03 13 15 30 00 1 5292.506
2011 03 13 15 15 00 1 5292.502
2011 03 13 15 00 00 1 5292.487
2011 03 13 14 45 00 1 5292.484
2011 03 13 14 30 00 1 5292.489
2011 03 13 14 15 00 1 5292.468
2011 03 13 14 00 00 1 5292.457
2011 03 13 13 45 00 1 5292.432
2011 03 13 13 30 00 1 5292.429
2011 03 13 13 15 00 1 5292.430
2011 03 13 13 00 00 1 5292.437
2011 03 13 12 45 00 1 5292.414
2011 03 13 12 30 00 1 5292.396
2011 03 13 12 15 00 1 5292.413
2011 03 13 12 00 00 1 5292.396
2011 03 13 11 45 00 1 5292.381
2011 03 13 11 30 00 1 5292.353
2011 03 13 11 15 00 1 5292.373
2011 03 13 11 00 00 1 5292.342
2011 03 13 10 45 00 1 5292.322
2011 03 13 10 30 00 1 5292.301
2011 03 13 10 15 00 1 5292.287
2011 03 13 10 00 00 1 5292.258
2011 03 13 09 45 00 1 5292.222
2011 03 13 09 30 00 1 5292.196
2011 03 13 09 15 00 1 5292.170
2011 03 13 09 00 00 1 5292.168
2011 03 13 08 45 00 1 5292.145
2011 03 13 08 30 00 1 5292.088
2011 03 13 08 15 00 1 5292.071
2011 03 13 08 00 00 1 5292.064
2011 03 13 07 45 00 1 5292.013
2011 03 13 07 30 00 1 5291.998
2011 03 13 07 15 00 1 5291.958
2011 03 13 07 00 00 1 5291.933
2011 03 13 06 45 00 1 5291.941
2011 03 13 06 30 00 1 5291.905
2011 03 13 06 15 00 1 5291.884
2011 03 13 05 59 00 2 5291.873
2011 03 13 05 58 00 2 5291.873
2011 03 13 05 57 00 2 5291.870
2011 03 13 05 56 00 2 5291.867
2011 03 13 05 55 00 2 5291.871
2011 03 13 05 54 00 2 5291.874
2011 03 13 05 53 00 2 5291.870
2011 03 13 05 52 00 2 5291.869
2011 03 13 05 51 00 2 5291.870
2011 03 13 05 50 00 2 5291.873
2011 03 13 05 49 00 2 5291.875
2011 03 13 05 48 00 2 5291.880
2011 03 13 05 47 00 2 5291.884
2011 03 13 05 46 00 2 5291.887
2011 03 13 05 45 00 2 5291.890
2011 03 13 05 44 00 2 5291.891
2011 03 13 05 43 00 2 5291.890
2011 03 13 05 42 00 2 5291.883
2011 03 13 05 41 00 2 5291.879
2011 03 13 05 40 00 2 5291.878
2011 03 13 05 39 00 2 5291.873
2011 03 13 05 38 00 2 5291.870
2011 03 13 05 37 00 2 5291.868
2011 03 13 05 36 00 2 5291.867
